customer_id,time,interaction,conversion,conversion_value,channel
A000100,2018-07-22T20:40:41Z,impression,0,0,Online Display
A000100,2018-07-08T21:53:37Z,impression,0,0,Online Video
A000100,2018-07-28T08:15:09Z,impression,0,0,Facebook
A000100,2018-07-20T17:34:47Z,impression,0,0,Paid Search
A000100,2018-07-12T07:43:32Z,impression,0,0,Facebook
A000100,2018-07-19T16:37:23Z,impression,0,0,Paid Search
A000100,2018-07-28T07:45:58Z,impression,0,0,Facebook
A000101,2018-07-17T21:25:03Z,impression,0,0,Online Display
A000101,2018-07-02T15:48:34Z,impression,0,0,Instagram
A000101,2018-07-13T19:59:51Z,impression,0,0,Online Video
A000101,2018-07-22T12:49:24Z,impression,0,0,Paid Search
A000101,2018-07-10T16:56:30Z,impression,0,0,Paid Search
A000101,2018-07-19T12:18:15Z,impression,0,0,Online Video
A000101,2018-07-27T08:48:28Z,impression,0,0,Facebook
A000102,2018-07-16T09:58:48Z,impression,0,0,Online Video
A000102,2018-07-07T15:34:41Z,impression,0,0,Paid Search
A000102,2018-07-28T17:20:09Z,impression,0,0,Facebook
A000102,2018-07-29T11:41:05Z,impression,0,0,Online Video
A000102,2018-07-12T15:35:34Z,impression,0,0,Instagram
A000102,2018-07-12T07:45:15Z,impression,0,0,Facebook
A000102,2018-07-15T14:13:27Z,impression,0,0,Facebook
A000103,2018-07-02T23:46:05Z,impression,0,0,Paid Search
A000103,2018-07-28T09:56:22Z,impression,0,0,Instagram
A000103,2018-07-14T19:50:18Z,impression,0,0,Facebook
A000103,2018-07-25T17:40:47Z,impression,0,0,Facebook
A000103,2018-07-05T13:17:11Z,impression,0,0,Paid Search
A000103,2018-07-30T21:10:29Z,impression,0,0,Facebook
A000104,2018-07-18T07:38:54Z,impression,0,0,Online Video
A000104,2018-07-04T09:58:16Z,impression,0,0,Online Display
A000104,2018-07-18T17:52:26Z,impression,0,0,Paid Search
A000104,2018-07-02T22:28:54Z,impression,0,0,Facebook
A000104,2018-07-05T12:30:58Z,impression,0,0,Instagram
A000104,2018-07-12T14:24:26Z,impression,0,0,Online Video
A000104,2018-07-10T14:52:33Z,impression,0,0,Online Video
A000104,2018-07-06T19:15:57Z,conversion,1,7,Instagram
A000105,2018-07-28T11:44:11Z,impression,0,0,Facebook
A000105,2018-07-12T06:28:00Z,impression,0,0,Facebook
A000105,2018-07-14T08:26:16Z,impression,0,0,Instagram
A000105,2018-07-14T10:35:01Z,impression,0,0,Online Display
A000105,2018-07-28T12:33:00Z,impression,0,0,Online Display
A000105,2018-07-11T10:28:43Z,impression,0,0,Online Video
A000105,2018-07-08T12:55:49Z,impression,0,0,Paid Search
A000105,2018-07-26T14:21:00Z,impression,0,0,Facebook
A000105,2018-07-23T15:23:12Z,impression,0,0,Online Display
A000105,2018-07-13T23:33:49Z,impression,0,0,Instagram
A000105,2018-07-03T15:36:28Z,impression,0,0,Facebook
A000105,2018-07-06T21:26:15Z,impression,0,0,Facebook
A000106,2018-07-18T15:32:48Z,impression,0,0,Instagram
A000106,2018-07-05T18:40:10Z,impression,0,0,Instagram
A000106,2018-07-08T08:35:07Z,impression,0,0,Online Video
A000106,2018-07-03T12:11:20Z,impression,0,0,Online Display
A000106,2018-07-16T20:12:39Z,impression,0,0,Online Video
A000106,2018-07-26T19:04:26Z,impression,0,0,Facebook
A000106,2018-07-15T15:02:36Z,impression,0,0,Online Video
A000107,2018-07-04T19:48:41Z,impression,0,0,Online Video
A000107,2018-07-17T21:42:27Z,impression,0,0,Online Video
A000107,2018-07-03T20:51:24Z,impression,0,0,Online Video
A000107,2018-07-21T17:09:05Z,impression,0,0,Paid Search
A000107,2018-07-30T21:43:02Z,impression,0,0,Facebook
A000107,2018-07-17T17:22:43Z,conversion,1,7.5,Facebook
A000107,2018-07-30T10:05:55Z,impression,0,0,Paid Search
A000107,2018-07-04T10:59:00Z,conversion,1,5.5,Paid Search
A000107,2018-07-29T10:27:54Z,impression,0,0,Facebook
A000108,2018-07-04T09:53:23Z,impression,0,0,Paid Search
A000108,2018-07-21T17:24:29Z,impression,0,0,Online Video
A000108,2018-07-06T19:56:41Z,impression,0,0,Online Video
A000108,2018-07-03T11:13:29Z,impression,0,0,Paid Search
A000108,2018-07-26T07:54:24Z,impression,0,0,Facebook
A000108,2018-07-17T21:02:46Z,impression,0,0,Facebook
A000108,2018-07-02T15:55:44Z,impression,0,0,Online Video
A000108,2018-07-18T13:02:28Z,impression,0,0,Facebook
A000108,2018-07-25T18:54:25Z,impression,0,0,Facebook
A000109,2018-07-21T12:40:32Z,impression,0,0,Facebook
A000109,2018-07-23T10:27:03Z,impression,0,0,Instagram
A000109,2018-07-25T11:44:28Z,impression,0,0,Online Display
A000109,2018-07-22T14:26:29Z,conversion,1,5.5,Online Video
A000109,2018-07-23T13:37:23Z,impression,0,0,Paid Search
A000109,2018-07-25T03:46:37Z,impression,0,0,Online Video
A000110,2018-07-30T10:35:41Z,impression,0,0,Paid Search
A000110,2018-07-22T11:47:09Z,impression,0,0,Paid Search
A000110,2018-07-11T09:48:03Z,impression,0,0,Online Video
A000110,2018-07-07T10:14:33Z,impression,0,0,Paid Search
A000110,2018-07-07T15:15:54Z,impression,0,0,Instagram
A000110,2018-07-10T14:21:26Z,impression,0,0,Facebook
A000110,2018-07-04T13:53:15Z,impression,0,0,Instagram
A000111,2018-07-16T15:25:01Z,impression,0,0,Online Video
A000111,2018-07-23T22:13:28Z,impression,0,0,Online Video
A000111,2018-07-22T18:33:39Z,impression,0,0,Paid Search
A000111,2018-07-30T21:35:51Z,impression,0,0,Facebook
A000111,2018-07-11T19:56:47Z,impression,0,0,Online Video
A000111,2018-07-02T14:32:22Z,impression,0,0,Facebook
A000111,2018-07-08T19:41:02Z,impression,0,0,Facebook
